feature,mean_cluster0,mean_cluster1,difference_cluster1_minus_cluster0,cohens_d,abs_cohens_d,p_value,q_value
SER_map_inverse_difference_moment_normalized_tumor,0.14307549493775643,-0.2495304762902593,-0.3926059712280157,-0.39937387520860745,0.39937387520860745,3.3414177690703246e-07,6.032798634260074e-07
PE_map_Cluster_Shade_tissue_PostCon,-0.14276261004136467,0.24898479013166583,0.3917474001730305,0.3984682783851585,0.3984682783851585,1.3024635954038992e-05,2.094234778020251e-05
Grouping_based_mean_of_washin_slope_2D_tumorSlice_Group_1,0.14244163077540048,-0.24842498700709736,-0.39086661778249787,-0.39753948166853403,0.39753948166853403,9.124438152091132e-11,2.107785057841139e-10
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.14244163077540048,-0.24842498700709736,-0.39086661778249787,-0.39753948166853403,0.39753948166853403,9.124438152091132e-11,2.107785057841139e-10
SER_map_Contrast_tumor,-0.1422237379804071,0.2480449715967817,0.39026870957718884,0.39690911080626284,0.39690911080626284,5.728740889522695e-07,1.0001663137153482e-06
Max_Enhancement_from_char_curv,0.1421448503786284,-0.24790738786272623,-0.3900522382413546,-0.39668091256816873,0.39668091256816873,3.3656986278504294e-10,7.54429904293592e-10
Mean_norm_DHOG_max_timepoint_binsize_8_without_filling_Tumor,0.14169453418132796,-0.24712201497100308,-0.38881654915233105,-0.3953785479173199,0.3953785479173199,9.16053327295599e-08,1.6943783571306706e-07
Ratio_Tissue_vol_enhancing_more_than_10percent_from_T1_to_Tissue_Vol,0.14121317653916088,-0.24628250432127763,-0.3874956808604385,-0.3939869060473129,0.3939869060473129,2.7630552629636023e-08,5.354052139588811e-08
Contrast_tissue_PostCon,-0.14107892463187843,0.24604836260202625,0.38712728723390466,0.3935988650059316,0.3935988650059316,4.519294072633451e-07,7.995674128505337e-07
WashinRate_map_Dissimilarity_tumor,-0.14032727591798053,0.24473745145219145,0.38506472737017194,0.39142703790771216,0.39142703790771216,9.997822107351677e-08,1.837451322219946e-07
PE_map_kurtosis_tissue_PostCon,0.13945417510009353,-0.2432147220495676,-0.3826688971496611,-0.3889058422024073,0.3889058422024073,9.598945128533108e-10,2.07258856040572e-09
